x,y,labels,doc_top,topic
5.4306684,8.220659,89,48,3
3.3012588,10.58174,53,0,0
13.370627,7.9296017,62,12,5
10.454963,6.051445,59,13,12
4.002216,4.9480987,0,51,13
5.8490925,4.5458302,8,4,14
7.4079804,10.871803,21,35,6
8.079545,11.686054,21,24,6
13.341704,7.7966776,62,12,5
10.178983,7.6674204,67,73,9
3.9840508,10.397993,53,57,0
4.2516255,9.905702,53,0,0
3.3369212,10.416287,53,7,17
7.8221846,8.451436,82,30,15
8.786654,8.899647,60,40,15
13.078574,7.4642596,62,12,5
13.075613,6.342232,51,56,5
3.5390153,7.1779366,4,2,7
3.3797147,9.543773,53,0,0
3.7476985,6.5348735,4,2,7
7.3763857,8.224248,56,108,7
4.523881,8.111543,75,6,18
5.7510953,5.0649424,8,4,14
7.731957,6.6428967,73,94,13
3.3922331,10.233113,53,0,0
7.7480474,6.5360045,73,1,1
12.504121,6.3059936,54,21,5
5.9483137,4.8346066,8,4,14
10.579769,9.816047,111,49,8
4.9870415,9.825259,53,0,0
7.623432,6.2849913,73,94,13
10.87575,5.983342,41,105,9
12.259055,10.812377,109,43,11
9.71911,6.119606,52,66,12
9.576411,11.953843,1,107,2
12.754139,9.880298,100,82,11
9.150086,5.767835,27,86,12
7.4976206,11.397198,21,61,6
3.8287086,10.129658,53,57,0
3.5586424,6.2465544,4,2,7
4.160323,12.163693,14,79,10
3.3920004,9.709893,53,0,0
6.3759127,9.073673,80,117,6
10.875571,6.3726363,47,93,9
6.531771,9.352072,81,15,3
5.688556,8.10981,89,86,12
6.2307725,9.320908,81,15,3
10.353356,7.2749023,69,9,9
8.213916,4.4817295,3,102,15
10.517871,6.0570965,59,13,12
5.3860364,8.076219,89,38,3
7.5810018,8.692943,45,41,7
12.483058,10.295735,110,17,11
7.469654,10.785987,21,22,7
3.5978565,9.916329,53,0,0
4.6906404,12.954341,9,78,10
5.341329,8.046257,89,6,18
7.2759666,11.24412,21,36,6
10.339907,8.932694,91,7,17
9.971617,8.037223,25,64,4
9.73866,7.119169,58,89,9
10.169776,7.546359,67,9,9
3.0100384,10.936679,53,24,6
7.9115357,9.83676,49,98,9
4.2503653,8.052824,75,6,18
6.4606304,9.310325,81,15,3
12.499327,6.3095984,54,21,5
12.100809,5.9689164,36,52,5
13.442468,7.949289,62,12,5
13.12685,6.792888,61,33,5
8.059591,11.90248,21,24,6
12.199331,10.701303,109,43,11
5.495612,6.6538305,38,5,13
4.29361,9.781062,53,0,0
4.5940423,8.430091,75,59,17
6.617017,7.972312,77,15,3
8.168576,6.1355443,73,1,1
